cupc,citem,mprice,sku,cuom,istdpk,pos18
"4592471","SLIPPER FLIP-FW MF-GCM-K2","116.50","459247.00","PC","1","SLPPR FLP-GCM-K2"
"4592488","SLIPPER FLIP-FW MF-GCM-K3","125.50","459248.00","PC","1","SLPPR FLP-GCM-K3"
"4592495","SLIPPER FLIP-FW MF-GCM-K4","134.50","459249.00","PC","1","SLPPR FLP-GCM-K4"
"4592501","SLIPPER FLIP-FW MF-GCM-K5","143.50","459250.00","PC","1","SLPPR FLP-GCM-K5"
"4592518","SLIPPER FLIP-FW MF-GCM-K6","152.50","459251.00","PC","1","SLPPR FLP-GCM-K6"
"4592525","SLIPPER FLIP-FW MF-GCM-K7","161.50","459252.00","PC","1","SLPPR FLP-GCM-K7"
"4592532","SLIPPER FLIP-FW MF-GCM-K8","170.50","459253.00","PC","1","SLPPR FLP-GCM-K8"
"4592549","SLIPPER FLIP-FW MF-GCM-WB","179.50","459254.00","PC","1","SLPPR FLP-GCM-WB"
"4592556","SLIPPER FLIP-FW MF-GCM-L0","404.50","459255.00","PC","1","SLPPR FLP-GCM-L0"
"4592563","SLIPPER FLIP-FW MF-GCM-L1","62.50","459256.00","PC","1","SLPPR FLP-GCM-L1"
"4592570","SLIPPER FLIP-FW MF-GCM-L2","71.50","459257.00","PC","1","SLPPR FLP-GCM-L2"
"4592587","SLIPPER FLIP-FW MF-GCM-L3","440.50","459258.00","PC","1","SLPPR FLP-GCM-L3"
"4592594","SLIPPER FLIP-FW MF-GCM-L4","341.50","459259.00","PC","1","SLPPR FLP-GCM-L4"
"4592600","SLIPPER FLIP-FW MF-GCM-L5","188.50","459260.00","PC","1","SLPPR FLP-GCM-L5"
"4592631","SLIPPER FLIP-FW MF-GCM-L6","197.50","459263.00","PC","1","SLPPR FLP-GCM-L6"
"4592648","SLIPPER FLIP-FW MF-GCM-L7","206.50","459264.00","PC","1","SLPPR FLP-GCM-L7"
"4592655","SLIPPER FLIP-FW MF-GCM-L8","215.50","459265.00","PC","1","SLPPR FLP-GCM-L8"
"4592662","SLIPPER FLIP-FW MF-GCM-L9","224.50","459266.00","PC","1","SLPPR FLP-GCM-L9"
"4592679","SLIPPER FLIP-FW MF-GCM-M0","233.50","459267.00","PC","1","SLPPR FLP-GCM-M0"
"4592686","SLIPPER FLIP-FW MF-GCM-M1","242.50","459268.00","PC","1","SLPPR FLP-GCM-M1"
"4592693","SLIPPER FLIP-FW MF-GCM-M2","251.50","459269.00","PC","1","SLPPR FLP-GCM-M2"
"4592709","SLIPPER FLIP-FW MF-GCM-M3","260.50","459270.00","PC","1","SLPPR FLP-GCM-M3"
"4592716","SLIPPER FLIP-FW MF-GCM-M4","269.50","459271.00","PC","1","SLPPR FLP-GCM-M4"
"4592723","SLIPPER FLIP-FW MF-GCM-M5","359.50","459272.00","PC","1","SLPPR FLP-GCM-M5"
"4592730","SLIPPER FLIP-FW MF-GCM-M6","449.50","459273.00","PC","1","SLPPR FLP-GCM-M6"
